"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""732명 확진"" 사랑제일교회 압색 종료… 전광훈, 한기총 회장 사퇴","경찰이 사랑제일교회에 대한 압수수색을 4시간20분만에 종료했다.	 서울 성북구 전광훈 담임목사의 사랑제일교회는 신종 코로나바이러스 감염증 2차 대유행의 진앙으로 지목된 곳이다.	 이 교회 관련 코로나19 누적 확진자는 21일 낮 12시 기준 732명이다.22일 서울지방경찰청 지능범죄수사대는 사랑제일교회에 대해 압수영장을 발부받아 지난 21일 저녁 8시40분부터 이날 오전 1시쯤까지 교회를 압수수색했다.	 경찰은 오전 0시55분쯤 압수수색 박스 7개 이상을 들고 나왔고 방역당국이 교회에서 역학조사를 진행했다.	사랑제일교회 측은 서울시와 방역당국, 경찰 등의 역학조사를 거부했다.	 지난 20일 오후 5시쯤 역학조사 협조공문을 전달받았으나 이에 반발하며 협조에 불응했다.	 방역당국은 20일 늦은 오후부터 21일 새벽까지 약 12시간 동안 사랑제일교회의 신도 명단을 파악하기 위해 교회 측과 협의했으나 빈 손으로 귀가했다.	이날 압수수색이 끝난 뒤 사랑제일교회측 법률대리인인 강연재 변호사는 '뉴스1'과 통화에서 ""주로  명단을 가져갔다""며 ""서울시에서 달라고 했고 우리는 다 줬던 그 명단이며 마찰도 없었고 숨기는 것도 없었다""고 말했다.'	디지털 포렌식을 했냐'는 질문에 강 변호사는 ""현장에서 하다가는 오래 걸리니까 컴퓨터를 가져갔고  입회 하에 영장에 해당하는 문서를 볼 것 같다""고 했다.	앞서 전광훈 담임목사는 한국기독교총연합회 대표회장에서 사퇴했다.	 전 목사는 코로나19 확진판정을 받고 격리 입원 치료를 받고 있다.	전 목사는 21일 오후 한기총 관계자인 이은재 목사의 유튜브 채널 '이은재tv한국교회방송' 영상에서 녹음된 육성을 통해 ""이제 한기총 대표회장직을 내려놓고자 한다.	 애국운동과 한국교회부흥운동을 위해서 온 힘을 다 바쳐왔으나 불미스럽게도 외부의 불순분자들의 강력한 테러로 제가 고난을 당하고 있다""고 말했다.	전 목사는 ""현재 상태로는 제가 대표회장직을 감당하기에는 너무 힘들기 때문에 대표회장직을 사퇴한다""며 ""앞으로 새로운 대표회장을 잘 선발해서 한기총이 한국교회 부흥과 예수한국복음통일을 이루는데 최선을 다해주길 바란다""고 했다.	전광훈 목사는 지난 2018년 한기총 대표회장에 당선된 이후 다양한 정치 행사를 열고 신성모독 발언 등을 해 교계에서 비판을 받았다.	 그는 올해 1월 총회에서 대표회장 연임에 성공했지만 지난 5월 대표회장 직무가 정지됐다."
"[퇴근길] 전세기 탑승 비용은?… ""2월28일까지 입금하세요""","정부는 오는 30~31일 양일 간 신종 코로나바이러스 감염증 사태로 중국 우한에 고립된 우리 교민을 수송한다.29일 보건복지부 등에 따르면 정부는 중국 측과 협의가 마무리되는 대로 오는 30일 오전 10시 인천국제공항에서 우한시로 향하는 첫 전세기를 띄운다.	 이후 같은 날 정오 두번째 전세기가 우한으로 향한다.	 2대의 전세기가 귀국하는 구체적인 시간은 중국 측과 협의 후 결정될 것으로 보인다.	다음 날인 오는 31일에는 이상진 외교부 재외동포영사실장이 세번째 전세기를 타고 신속대응팀장으로 현지에 파견된다.	 이날 운영하는 전세기는 이륙과 착륙 모두 김포공항을 이용한다.	전세기를 통해 입국할 교민들은 층이 구분된 기내에서 대각선으로 배치된다.	 박능후 보건복지부 장관은 이날 ""전세기는 최신기종이어서 공기순환장치로 필터링이 돼 실제로 기내에서 기침 등을 통해 세균이 배출된다 하더라도 옮길 가능성은 아주 낮다""며 ""만약의 사태에 대비해 옆자리와 앞뒤 좌석을 비우고 대각선으로 앉히고 유증상자와 무증상자는 1, 2층으로 구분해 교차감염이 되지 않게 하겠다""고 설명했다.	이번 전세기 탑승 비용은 ▲성인 30만원 ▲소아 22만5000원 ▲유아 3만원이다.	탑승자들은 다음달 28일까지 외교부 계좌로 입금해야 한다.	 특히 전세기에 탑승한 교민들은 '외교부 임차 전세기 탑승 동의서'에 서명하고, 잠복기 등을 감안해 귀국 당일로부터 최소 14일 동안 국가 지정시설에서 격리 생활을 해야 한다.	한편 정부는 당초 700여명의 교민의 2주간 임시거처를 천안에 마련하려 했다.	 하지만 지자체의 반발에 수용시설은 충북 진천의 국가공무원 인재개발원과 충남 아산의 경찰 인재개발원으로 변경된 것으로 전해졌다."
"[총선2020] 담담한 이낙연… 황교안, 가림막 두고 ""부정선거 의혹""",‘정치 1번지’ 서울 종로에서 빅매치를 벌이는 이낙연 더불어민주당 후보와 황교안 미래통합당 후보가 투표를 마쳤다.	 ‘미니 대선’으로 불리고 있는 만큼 이들 투표에 관심이 쏠린다.
"[속보] 정 총리 ""경찰, 민주노총 방역조치 위반 시 법에 따라 엄정 조치"""," 정 총리 ""경찰, 민주노총 방역조치 위반 시 법에 따라 엄정 조치""     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"[속보] 문 대통령 ""경찰, 대규모집회 엄정대응해 코로나 재확산 막았다"""," 문 대통령 ""경찰, 대규모집회 엄정대응해 코로나 재확산 막았다""     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"‘서울역 폭행’ 남성, 범죄혐의 더 있다?… 6건 추가확인","서울역에서 한 여성을 묻지마폭행한 혐의로 경찰 수사를 받은 30대 남성이 이 범행 외에도 6건의 범죄를 저질렀던 것으로 조사됐다.	지난 1일 서울 동작경찰서는 상해 등 혐의로 체포됐던 이모씨의 여죄를 조사한 뒤 상습폭행 혐의로 검찰에 불구속 송치했다고 밝혔다.	이씨는 지난 5월26일 오후 1시50분쯤 공항철도 서울역 한 아이스크림 전문점 앞에서 30대 여성의 얼굴을 주먹으로 때린 뒤 도주한 혐의를 받고 있다.	 이 범행으로 피해 여성은 눈가가 찢어지고 한쪽 광대뼈 골절상을 입은 것으로 전해졌다.	이 사건은 지난달 1일 소셜네트워크서비스를 통해 세간에 알려졌고 이후 국토교통부 소속 철도특별사법경찰대가 경찰과의 공조를 통해 이씨 신병을 확보한 것으로 알려졌다.	경찰 조사 결과 이씨는 이 외에도 지난 2월 횡단보도에서 신호를 기다리던 여성에게 욕설을 하면서 침을 뱉고 5월에는 이웃 여성을 폭행하는 등 6건의 범죄를 저질렀던 것으로 확인됐다.	 경찰에 따르면 피해자들 6명 중 4명이 여성이었고 2명은 남성이었다.	경찰 관계자는 ""이씨가 경찰 조사에서 나온 대부분의 혐의를 인정했다""고 전했다.	불구속 상태에서 수사를 받았던 이씨는 현재 지방의 한 정신병원에서 입원 치료를 받고 있는 것으로 알려졌다."
"아빠는 ""진압"" 딸은 ""blackouttuesday""… 따로 노는 트럼프 가족","도널드 트럼프 대통령의 막내딸 티파니 트럼프가 '블랙아웃화요일' 캠페인에 동참했다.	티파니는 3일 자신의 소셜네트워크서비스에 ""혼자서 할 수 있는 일은 극히 적지만 함께하면 많은 것을 할 수 있다""는 헬렌 켈러의 말과 함께 검은색 바탕의 사진을 게재했다.	여기에 블랙아웃화요일, 조지플로이드에게 정의를이라는 해시태그를 붙였다.	블랙아웃화요일 캠페인은 최근 발생한 조지 플로이드 사망 사건에 대한 항의의 의미로 SNS 등에서 진행되고 있다.	 흑인인 플로이드는 지난 25일 미국 미니애폴리스에서 백인 경찰로부터 체포당하는 과정에서 비무장 상태로 목이 짓눌려 숨을 거뒀다.	티파니의 블랙아웃화요일 게시물에는 1만5000여명이 좋아요를 눌렀고 1760여개의 댓글이 달렸다.	하지만 댓글 중엔 부정적인 반응이 다수였다.	 티파니의 아버지인 트럼프 대통령이 날로 격화되고 있는 조지 플로이드 사망 규탄 시위를 국내 테러 행위로 규정하고 수도 워싱턴DC 병력 배치 등 초강경 대응에 나서고 있기 때문이다.	티파니는 트럼프와 그의 둘째 부인 말라 메이플스 사이에서 태어났다."
"""텔레그램 n번방"" 청원, 신기록 깼다… 역대 최다 동의 얻어","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
[머니S포토] 무제한 토론 마치고 격려받는 김웅,"     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
[머니S포토] 국가수사본부 출범 현판식,"     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""성매매 알선 혐의"" 승리, 9일 군대간다… 재판은?",아이돌그룹 빅뱅 전 멤버 승리가 오는 9일 6사단으로 현역 입대하는 것으로 전해졌다.	 입대 장소는 강원도 철원에 위치한 6사단으로 알려졌다.	 승리의 버닝썬 관련 재판의 경우 승리가 현역 입대가 임박함에 따라 군사재판으로 이관될 전망이다.	 승리는 2019년 초 클럽 버닝썬에서 벌어진 사건과 관련한 여러 의혹에 휩싸이며 연예계 활동에 최대 위기를 맞았고 의혹을 해명하기 위해 2019년 2월 27일 서울 강남경찰서에서 조사를 받았다.
"[속보] 당국 ""경찰청, 격리조치 위반 등에 대해 무관용 원칙으로 영장"""," 당국 ""경찰청, 격리조치 위반 등에 대해 무관용 원칙으로 영장""     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"[머니S포토] 김창룡 청장 ""전문수사로 국민 눈높이에 부응""","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"목 짓눌린 ""8분46초""의 묵념… ""플로이드는 소모품 아니었다""","백인 경찰들의 강압적인 체포에 의해 사망한 흑인 남성 조지 플로이드의 장례식이 열렸다.	 장례식은 지난 9일 낮 12시쯤 미국 휴스턴 '파운틴 오브 프레이즈’ 교회에서 열렸다.	 휴스턴은 플로이드가 유년기를 비롯해 생애 대부분을 보낸 곳이다.	이날 장례식에는 가족과 친구, 정치인과 다른 유명 인사들을 합해 총 500여명이 참석했다.	 이들은 플로이드의 죽음에 슬퍼하면서 인종 차별이 반드시 철폐돼야 한다고 강조했다.	알렉산더 그린 하원의원은 ""조지 플로이드는 소모품이 아니었다.	 이것이 우리가 여기에 있는 이유""라고 말했다."
"함안 시민단체 ""가야농협 이전부지 매입의혹, 경찰수사"" 촉구","함안 가야농협 신청사 건립을 위한 부지매입 의혹과 관련해 논란이 뜨겁다.	현직 조합장과 상임이사 소유의 토지가 절반 이상 포함된 것이 알려지면서 지역 시민단체가 경찰수사를 통해 진상규명을 촉구하고 나섰기 때문이다.	 <본지 2020.	 12.07일자 보도>  특히 시민단체는 ""현 조합장과 상임이사는 자리에서 물러나야 한다""고 주장했다.	 이같은 사태를 초래한 책임을 져야 한다는 차원에서 나온 발언으로 비친다.	이와 관련해 지난 15일 참여와연대를위한 함안시민모임은 성명서를 내고 ""최근 가야농협이 본점 이전을 위해 67억여원이라는 거액을 들여 매입한 부지 중 절반 이상이 현 조합장과 상임이사 소유의 토지로 드러나 많은 의혹을 사고 있다""고 지적했다.	이에 대해 농협측은 현 조합장의 공약사업이며 조합원들의 숙원사업으로 이사회 결의와 대의원 동의 등 적법한 절차를 거쳐 아무런 문제가 없다는 입장을 고수하고 있다.	시민단체는 조합측의 해명에도 불구, 제대로 짚어봐야할 문제가 하나둘이 아니라는 주장이다.	그러면서 시민단체는 농협측의 주장에 대해 의혹을 제기하며 조목조목 따져 물었다.	이들은 '매입 대상 토지 소유자 중에 현 조합장과 상임이사가 포함되어 있고, 그 비율이 절반 이상이라는 것을 조합원들에게 정확히 전달했는지'와 '이사회 전체 회의와 대의원 전체 회의 등 결의와 동의가 상식적인 절차와 방식으로 이뤄졌는지가 의문'이라는 것이다.	시민단체는 ""이러한 사정을 전체 조합원들이 소상히 알았다면 동의해줄 조합원이 얼마나 있겠냐""며 '코로나19를 핑계로 절차와 방식이 제대로 이뤄졌는지 확인해볼 필요가 있다""고 주장했다."
"[똑똑보험] 뒤에서 ""쾅"" 알고보니 보험사기… ""할증 보험료"" 돌려받는 법","#.	주부 정모씨는 최근 보험사로부터 자동차보험료 30만원을 돌려받았다.	 3년 전 발생한 교통사고 때문이다.	 당시 정씨는 차선변경을 하던중 접촉사고를 당했다.	 뒤에서 정씨의 차를 받은 운전자는 자신이 피해자라고 주장하며 보험금을 수령했다.	 하지만 이는 '보험사기'였다.	 법원은 최근 이 사건을 보험사기로 판결했고 부당하게 할증된 정씨의 보험료 30만원이 환급됐다.	  자동차사고는 보험사기에 잘 이용되는 분야다.	 사기범들은 고의로 사고를 유도해 자신을 피해자로 만든 뒤 보험금을 수령한다.	 이때 가해자가 돼버린 보험가입자는 자동차 보험료가 할증될 수밖에 없다.	 하지만 이 사고가 보험사기로 판결이 나면 보험료 할증분을 돌려받을 수 있음에도 이를 잘 모르는 가입자가 많다.	 금융당국은 보험사기로 인한 할증 보험료를 꾸준히 환급하고 있다.	 금융감독원는 지난해 11월 보험사기 피해자 2466명에 대한 할증 자동차보험료 14억원을 환급 조치했다.	 1인당 평균 환급보험료는 약 56만원이고, 최대 환급보험료는 약 530만원이다.	 2018년에도 당국은 2006년 7월부터 2018년 5월 중 자동차 보험사기로 피해를 입은 보험계약자 7000명에게 총 30억원의 부당 할증보험료를 환급했다.	 1인당 평균 환급액은 42만원이다.	 그동안 보험사기 피해자는 사기가 의심되더라도 조사·판결 등으로 확정되기까지 상당 시일이 소요돼 권리구제 신청에 어려움이 있었다.	 또한 가입당시 연락처가 지금과 달라 연락이 단절된 경우 보험료 환급이 어려웠다.	 당국은 보험가입 당시 기재된 연락처를 토대로 가입자에게 연락을 취해 보험료를 환급해준다.	 실제로 지난해 환급 시 약 547명은 연락처 변경 등으로 환급절차가 진행되지 않았다.	 지난해부터는 이러한 절차가 개선됐다.	 보험가입자들이 스스로 보험사기 피해정보를 확인한 후 보험료 환급을 요청할 수 있게 된 것이다.	 금감원은 기존 '과납보험료 통합조회시스템'을 개선해 가입자들이 능동적으로 보험료 환급을 신청할 수 있게 했다.	기존에는 보험사가 개별적으로 판결문을 입수 관리했다.	 하지만 지난해 6월부터 보험협회가 각 피해보험사로부터 위임을 받아 판결문 발급신청 및 관리를 전담해 판결문 입수 누락을 방지하게 됐다.	 또 보험협회가 제공한 판결문 목록을 토대로 각 피해보험사가 보험사기 사고내역 및 개발원 통보 여부를 자체점검 후 금감원에 제출토록 하는 등 관리 감독을 강화했다.	 이에 가입자들은 보험사기 확인에 필요한 정보를 과납보험료 통합조회시스템에서 쉽게 확인할 수 있게 됐다.	금융당국은 보험사기로 인한 보험료 환급이 신속히 이뤄지려면 보험가입자들의 노력도 필요하다고 강조했다.	 금감원측은 ""보험사기범들은 주로 법규위반 차량을 대상으로 고의사고를 일으키므로 교통법규 준수가 중요하다""며 ""보험사기 의심 교통사고 발생 시 사고현장 사진, 블랙박스 영상, 목격자 등을 최대한 확보해 경찰 및 보험회사에 신고해야 한다""고 밝혔다."
